player_id,player_display_name,position,recent_team,season,week,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,racr,target_share,air_yards_share,wopr,fantasy_points,fantasy_points_ppr
00-0003400,Ernie Conwell,TE,NO,2003,9,2.89,4.89,32.22222,0.22,0.0,0.0,1.6666666,0.0,0.16140762,0.0,0.0,4.5555553,7.444444
00-0003400,Ernie Conwell,TE,NO,2004,12,0.83,1.58,8.5,0.08,0.0,0.0,0.33333334,0.0,0.049378857,0.0,0.0,1.35,2.1833334
00-0003400,Ernie Conwell,TE,NO,2005,4,3.25,3.25,41.25,0.25,0.0,0.0,2.5,0.0,0.21607143,0.0,0.0,5.125,8.375
00-0003400,Ernie Conwell,TE,NO,2006,3,2.67,2.67,19.0,0.33,13.333333,5.6666665,1.0,1.5488889,0.10361552,0.09882286,0.22459929,3.9,6.5666666
00-0003663,Zack Crockett,RB,LV,2002,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.92,4.92
00-0003663,Zack Crockett,RB,LV,2003,15,0.47,0.8,3.5333333,0.0,0.0,0.0,0.13333334,0.0,0.04133946,0.0,0.0,3.9866667,4.4533334
00-0003663,Zack Crockett,RB,LV,2004,12,1.33,1.67,7.25,0.0,0.0,0.0,0.33333334,0.0,0.05200165,0.0,0.0,3.6583333,4.991667
00-0003663,Zack Crockett,RB,LV,2005,15,0.87,0.87,7.4,0.0,0.0,0.0,0.2,0.0,0.07923127,0.0,0.0,2.5266666,3.3933334
00-0003663,Zack Crockett,RB,LV,2006,12,0.83,0.83,4.4166665,0.0,0.75,3.6666667,0.083333336,-2.8035715,0.09092365,0.008983276,0.14267378,1.4666667,2.3
00-0003663,Zack Crockett,RB,TB,2007,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
00-0003700,Germane Crowell,WR,DET,2002,9,2.44,5.22,22.333334,0.11,0.0,0.0,1.2222222,0.0,0.15091415,0.0,0.0,2.9,5.3444443
00-0003803,Matt Cushing,TE,PIT,2002,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04347826,0.0,0.0,0.4,1.4
00-0003803,Matt Cushing,TE,PIT,2004,1,1.0,1.0,17.0,0.0,0.0,0.0,1.0,0.0,0.055555556,0.0,0.0,1.7,2.7
